date,open,high,low,close,volume,change,updown,comp,amount,marcap,shares
2016-05-02,18550,18600,16000,16650,5172035,-0.1024,2,-1900,88746223250,687202709400,41273436
2016-05-03,16850,17400,16200,17200,2039838,0.033,1,550,34665140200,709903099200,41273436
2016-05-04,17100,18350,16800,17950,2585367,0.0436,1,750,46372133950,740858176200,41273436
2016-05-09,17950,18150,17350,17900,1002894,-0.0028000000000000004,2,-50,17807296900,738794504400,41273436
2016-05-10,18000,18150,17600,17850,753750,-0.0028000000000000004,2,-50,13500894350,736730832600,41273436
2016-05-11,17950,18350,17700,18150,763921,0.0168,1,300,13753629650,749112863400,41273436
2016-05-12,18100,19300,17850,19050,1280895,0.0496,1,900,23882237050,786258955800,41273436
2016-05-13,18950,19700,18800,19550,1176400,0.0262,1,500,22830862050,806895673800,41273436
2016-05-16,19600,20500,19550,20300,1105077,0.0384,1,750,22064659450,837850750800,41273436
2016-05-17,20400,20450,19300,19850,1129696,-0.0222,2,-450,22217478500,819277704600,41273436
2016-05-18,19900,20300,19200,19850,798105,0.0,3,0,15865451850,819277704600,41273436
2016-05-19,19950,20050,19050,19200,807577,-0.0327,2,-650,15625076550,792449971200,41273436
2016-05-20,19250,20500,18900,20350,838831,0.0599,1,1150,16528710200,839914422600,41273436
2016-05-23,20350,20950,20050,20750,642829,0.0197,1,400,13260647000,856423797000,41273436
2016-05-24,20900,22000,20750,22000,1356120,0.0602,1,1250,29308275700,908015592000,41273436
2016-05-25,22200,23900,21750,23400,1697747,0.0636,1,1400,39415757250,965798402400,41273436
2016-05-26,23550,24250,22200,23550,976991,0.0064,1,150,22580758550,971989417800,41273436
2016-05-27,23400,23500,22800,22800,539781,-0.0318,2,-750,12404223750,941034340800,41273436
2016-05-30,22500,23800,22500,23150,463562,0.0154,1,350,10805418350,955480043400,41273436
2016-05-31,23150,23200,22200,22200,805575,-0.040999999999999995,2,-950,18172422200,916270279200,41273436
2016-06-01,22200,23100,22200,22750,441879,0.0248,1,550,10095518300,938970669000,41273436
2016-06-02,22950,24150,22950,24100,714242,0.0593,1,1350,16984722700,994689807600,41273436
2016-06-03,24250,24800,23750,24650,610313,0.022799999999999997,1,550,14907111550,1017390197400,41273436
2016-06-07,24650,25000,23600,23850,476965,-0.0325,2,-800,11454747400,984371448600,41273436
2016-06-08,23550,24550,22300,24450,1280180,0.0252,1,600,29802335750,1009135510200,41273436
2016-06-09,24350,24450,23500,23800,510681,-0.026600000000000002,2,-650,12193442100,982307776800,41273436
2016-06-10,23900,24000,23000,23300,356100,-0.021,2,-500,8320014200,961671058800,41273436
2016-06-13,23100,23800,22550,23200,237648,-0.0043,2,-100,5517384750,957543715200,41273436
2016-06-14,23200,23600,22750,23550,301217,0.0151,1,350,6964243300,971989417800,41273436
2016-06-15,23750,24650,23600,24000,726199,0.0191,1,450,17589816600,990562464000,41273436
2016-06-16,24250,24350,23050,23450,238544,-0.0229,2,-550,5667942500,967862074200,41273436
2016-06-17,23800,23900,22500,22550,461013,-0.0384,2,-900,10546592150,930715981800,41273436
2016-06-20,22950,23100,22450,22600,276870,0.0022,1,50,6287078650,932779653600,41273436
2016-06-21,22850,23000,22500,22900,189942,0.013300000000000001,1,300,4323573750,945161684400,41273436
2016-06-22,22450,23000,22100,22600,350083,-0.0131,2,-300,7874093250,932779653600,41273436
2016-06-23,22850,23150,22250,22550,280974,-0.0022,2,-50,6370706300,930715981800,41273436
2016-06-24,22750,22950,21050,22300,497001,-0.0111,2,-250,10969635950,920397622800,41273436
2016-06-27,21700,22100,21650,22000,296732,-0.013500000000000002,2,-300,6478210300,908015592000,41273436
2016-06-28,21700,22350,21450,22300,294151,0.013600000000000001,1,300,6465682000,920397622800,41273436
2016-06-29,22600,23200,22350,22850,339833,0.024700000000000003,1,550,7778151150,943098012600,41273436
2016-06-30,23000,23150,22750,22850,284483,0.0,3,0,6518993950,943098012600,41273436
2016-07-01,22850,23650,22700,22900,333336,0.0022,1,50,7736982600,945161684400,41273436
2016-07-04,23100,23300,22750,23300,288078,0.0175,1,400,6599461400,961671058800,41273436
2016-07-05,23300,23450,22550,22650,184234,-0.0279,2,-650,4195132050,934843325400,41273436
2016-07-06,22800,23300,22150,22450,296861,-0.0088,2,-200,6741900200,926588638200,41273436
2016-07-07,22700,22950,22300,22400,184446,-0.0022,2,-50,4166485150,924524966400,41273436
2016-07-08,22450,22550,21950,22350,219315,-0.0022,2,-50,4883273100,922461294600,41273436
2016-07-11,22450,23900,22450,23900,594821,0.0694,1,1550,13944899450,986435120400,41273436
2016-07-12,23950,23950,23200,23650,421925,-0.0105,2,-250,9920166400,976116761400,41273436
2016-07-13,23700,24000,23350,23600,226383,-0.0021,2,-50,5349440800,974053089600,41273436
2016-07-14,23600,23750,23150,23300,254118,-0.0127,2,-300,5926494250,961671058800,41273436
2016-07-15,23400,23500,22600,22600,312231,-0.03,2,-700,7161628200,932779653600,41273436
2016-07-18,22650,23000,22250,22500,242251,-0.0044,2,-100,5441295300,928652310000,41273436
2016-07-19,22300,22600,22050,22150,254937,-0.015600000000000001,2,-350,5694986350,914206607400,41273436
2016-07-20,22050,22500,21700,22350,278074,0.009000000000000001,1,200,6111167150,922461294600,41273436
2016-07-21,22550,24950,22550,24150,1602219,0.0805,1,1800,38399561250,996753479400,41273436
2016-07-22,24150,24450,23550,23750,412753,-0.0166,2,-400,9835677700,980244105000,41273436
2016-07-25,24200,25250,24000,25100,889618,0.056799999999999996,1,1350,22163039400,1035963243600,41273436
2016-07-26,25150,25200,24300,24450,459319,-0.0259,2,-650,11265695900,1009135510200,41273436
2016-07-27,24600,25400,24200,24550,406032,0.0040999999999999995,1,100,10073042700,1013262853800,41273436
2016-07-28,24650,24650,23700,24200,362027,-0.0143,2,-350,8669483950,998817151200,41273436
2016-07-29,24000,24850,23750,24850,339079,0.0269,1,650,8296403050,1025644884600,41273436
2016-08-01,25300,25400,24700,25000,289146,0.006,1,150,7220748550,1031835900000,41273436
2016-08-02,25000,26200,24850,26000,981461,0.04,1,1000,25318793000,1073109336000,41273436
2016-08-03,25750,26350,25600,25850,359170,-0.0058,2,-150,9323572600,1066918320600,41273436
2016-08-04,26100,26450,25050,25350,436433,-0.019299999999999998,2,-500,11125843850,1046281602600,41273436
2016-08-05,25400,25900,25150,25500,228034,0.0059,1,150,5793424450,1052472618000,41273436
2016-08-08,25700,25900,24400,24450,351643,-0.0412,2,-1050,8737809750,1009135510200,41273436
2016-08-09,24500,24550,23550,23800,600728,-0.026600000000000002,2,-650,14305247200,982307776800,41273436
2016-08-10,23800,24150,23150,23850,481994,0.0021,1,50,11324324950,984371448600,41273436
2016-08-11,23700,23950,23450,23600,234004,-0.0105,2,-250,5540569650,974053089600,41273436
2016-08-12,23600,23900,23300,23500,185267,-0.0042,2,-100,4364777950,969925746000,41273436
2016-08-16,23350,23500,22500,22850,382397,-0.0277,2,-650,8803058300,943098012600,41273436
2016-08-17,22750,24250,22650,24050,690453,0.0525,1,1200,16405498600,992626135800,41273436
2016-08-18,24250,24550,23750,24500,375226,0.0187,1,450,9105406750,1011199182000,41273436
2016-08-19,24500,24900,24300,24300,210521,-0.008199999999999999,2,-200,5168635850,1002944494800,41273436
2016-08-22,24350,25550,24250,25300,440267,0.0412,1,1000,11024452100,1044217930800,41273436
2016-08-23,25450,25500,24900,25250,192448,-0.002,2,-50,4864130550,1042154259000,41273436
2016-08-24,25400,25900,25300,25600,424411,0.0139,1,350,10912614950,1056599961600,41273436
2016-08-25,25600,25600,24750,25000,379993,-0.023399999999999997,2,-600,9512720050,1031835900000,41273436
2016-08-26,24850,24850,24250,24550,262369,-0.018000000000000002,2,-450,6424317300,1013262853800,41273436
2016-08-29,24450,24450,23100,23700,607102,-0.0346,2,-850,14271752300,978180433200,41273436
2016-08-30,23800,24550,23800,24000,274949,0.0127,1,300,6650799950,990562464000,41273436
2016-08-31,23650,23700,22850,23300,465312,-0.0292,2,-700,10787277300,961671058800,41273436
2016-09-01,22900,23650,22850,23500,285175,0.0086,1,200,6682459050,969925746000,41273436
2016-09-02,23500,23550,22750,23000,381725,-0.0213,2,-500,8779386050,949289028000,41273436
2016-09-05,23100,23750,22850,23650,311688,0.028300000000000002,1,650,7262965900,976116761400,41273436
2016-09-06,23800,24000,23500,23900,313367,0.0106,1,250,7448079700,986435120400,41273436
2016-09-07,23700,23900,22700,23000,713506,-0.0377,2,-900,16468074050,949289028000,41273436
2016-09-08,22800,23200,22450,22550,534611,-0.0196,2,-450,12166426250,930715981800,41273436
