date,open,high,low,close,volume,change,updown,comp,amount,marcap,shares
2000-01-04,24700,26450,24200,25750,9275920,0.06849999999999999,1,1650,236382580500,8985072542000,348934856
2000-01-05,24150,24950,22750,23100,7414370,-0.10289999999999999,2,-2650,177810167000,8060395173600,348934856
2000-01-06,23500,23800,21650,21900,6529140,-0.0519,2,-1200,147657556500,7641673346400,348934856
2000-01-07,21200,22400,20800,21700,10492270,-0.0091,2,-200,227868200000,10718386375200,493934856
2000-01-10,22000,22300,21500,21500,8041690,-0.0092,2,-200,175069603000,10619599404000,493934856
2000-01-11,22000,23300,21900,22300,11268920,0.037200000000000004,1,800,254427387500,11014747288800,493934856
2000-01-12,22000,23200,21800,22600,6916500,0.013500000000000002,1,300,156036237500,11162927745600,493934856
2000-01-13,23000,23550,22500,23500,11180640,0.0398,1,900,259065337000,11607469116000,493934856
2000-01-14,24250,24600,22600,22800,12338010,-0.0298,2,-700,291978041000,11261714716800,493934856
2000-01-17,23700,25550,23400,24900,20475240,0.09210000000000002,1,2100,502065469500,12298977914400,493934856
2000-01-18,25000,25700,24050,25000,14581100,0.004,1,100,362753952500,12348371400000,493934856
2000-01-19,25000,25600,24500,24500,13326650,-0.02,2,-500,332696201000,12101403972000,493934856
2000-01-20,24350,27000,23850,27000,24274380,0.102,1,2500,621089250000,13336241112000,493934856
2000-01-21,26500,28400,26400,26600,31238800,-0.0148,2,-400,852876748000,13138667169600,493934856
2000-01-24,27400,27850,26800,27000,12233700,0.015,1,400,332458696000,13336241112000,493934856
2000-01-25,26500,26800,25800,25900,10446560,-0.0407,2,-1100,274366787000,12792912770400,493934856
2000-01-26,26150,26600,25800,26450,9108240,0.0212,1,550,238557358000,13064576941200,493934856
2000-01-27,26500,26800,25500,26000,8991610,-0.017,2,-450,234231304500,12842306256000,493934856
2000-01-28,26000,28000,25800,27700,16882700,0.0654,1,1700,458400301000,13681995511200,493934856
