date,open,high,low,close,volume,change,updown,comp,amount,marcap,shares
2000-01-04,10800,12400,10800,12200,1645820,0.12960000000000002,1,1400,19137539500,1043100000000,85500000
2000-01-05,11600,12450,11300,11850,1762180,-0.0287,2,-350,21044464000,1013175000000,85500000
2000-01-06,12050,12250,11600,11850,2238910,0.0,3,0,26649424000,1013175000000,85500000
2000-01-07,11900,13500,11750,13500,4579310,0.1392,1,1650,58522798000,1154250000000,85500000
2000-01-10,13700,14300,12900,13000,3911440,-0.037000000000000005,2,-500,53223874000,1111500000000,85500000
2000-01-11,13300,14250,12750,13700,4900440,0.0538,1,700,67110351000,1171350000000,85500000
2000-01-12,13300,14000,13000,13150,2895330,-0.0401,2,-550,39087707500,1124325000000,85500000
2000-01-13,13150,13300,12400,12700,1763790,-0.0342,2,-450,22621471000,1085850000000,85500000
2000-01-14,12800,13350,12500,12800,2664300,0.0079,1,100,34398770000,1094400000000,85500000
2000-01-17,12950,13200,12650,12650,1927060,-0.011699999999999999,2,-150,24916967000,1081575000000,85500000
2000-01-18,12800,13450,12800,12900,2796510,0.019799999999999998,1,250,36532825000,1102950000000,85500000
2000-01-19,12650,12700,11800,11850,1717280,-0.0814,2,-1050,20860098500,1013175000000,85500000
2000-01-20,11750,12000,11000,12000,1655350,0.0127,1,150,18999121500,1026000000000,85500000
2000-01-21,11550,12150,11500,11550,1066590,-0.0375,2,-450,12505725000,987525000000,85500000
2000-01-24,11400,11950,11400,11750,1129440,0.0173,1,200,13245447000,1004625000000,85500000
2000-01-25,11500,11650,11250,11250,753660,-0.0426,2,-500,8611847000,961875000000,85500000
2000-01-26,11250,11450,10650,11100,901310,-0.013300000000000001,2,-150,9972071000,949050000000,85500000
2000-01-27,10800,11700,10800,11600,1203000,0.045,1,500,13681073500,991800000000,85500000
2000-01-28,11650,11900,11400,11900,1036890,0.0259,1,300,12135523000,1017450000000,85500000
2000-01-31,11550,12650,11550,12450,2038380,0.0462,1,550,24842426500,1064475000000,85500000
2000-02-01,12700,12700,11950,12500,1835840,0.004,1,50,22698551000,1068750000000,85500000
2000-02-02,12300,13500,12300,13500,3451550,0.08,1,1000,45409409500,1154250000000,85500000
2000-02-03,13400,14200,13300,13500,3299840,0.0,3,0,45740693000,1154250000000,85500000
2000-02-07,13650,14700,13500,14100,3658920,0.0444,1,600,51998204500,1205550000000,85500000
2000-02-08,14100,14200,13500,13600,1233680,-0.0355,2,-500,16994311000,1162800000000,85500000
2000-02-09,13600,13900,13000,13000,1688690,-0.0441,2,-600,22695150000,1111500000000,85500000
2000-02-10,13000,13350,12800,13000,1300980,0.0,3,0,16969104000,1111500000000,85500000
2000-02-11,13150,13300,12200,12400,1663760,-0.0462,2,-600,20895628500,1060200000000,85500000
2000-02-14,12400,13250,12200,12450,1451710,0.004,1,50,18480901000,1064475000000,85500000
2000-02-15,12600,12700,11550,12000,1159370,-0.0361,2,-450,13971352000,1026000000000,85500000
2000-02-16,11800,12400,11600,12200,930940,0.0167,1,200,11197689500,1043100000000,85500000
2000-02-17,11500,14000,11500,14000,2193090,0.1475,4,1800,28317361000,1197000000000,85500000
2000-02-18,14500,14750,13800,14000,4695900,0.0,3,0,66945507000,1197000000000,85500000
2000-02-21,13700,13850,13000,13000,1485640,-0.07139999999999999,2,-1000,20020756000,1111500000000,85500000
2000-02-22,13000,13500,12300,12300,1692270,-0.0538,2,-700,21855172500,1051650000000,85500000
2000-02-23,12300,13400,12200,12650,2134270,0.0285,1,350,27132326000,1081575000000,85500000
2000-02-24,12500,12750,12150,12400,1262580,-0.019799999999999998,2,-250,15611541000,1060200000000,85500000
2000-02-25,12400,12550,12050,12300,1064840,-0.008100000000000001,2,-100,13106370000,1051650000000,85500000
2000-02-28,12100,12850,11950,12300,1294190,0.0,3,0,16058670500,1051650000000,85500000
2000-02-29,12600,12700,11550,11700,1380800,-0.048799999999999996,2,-600,16710327500,1000350000000,85500000
2000-03-02,12000,13300,11850,13300,3728750,0.1368,1,1600,47147976000,1137150000000,85500000
2000-03-03,12900,13100,12200,12500,1666250,-0.0602,2,-800,20959349000,1068750000000,85500000
2000-03-06,12800,13200,12250,12500,3611550,0.0,3,0,45875695000,1068750000000,85500000
2000-03-07,12500,12650,12200,12600,1414400,0.008,1,100,17545860000,1077300000000,85500000
2000-03-08,12200,12500,12150,12200,1238280,-0.0317,2,-400,15233893500,1043100000000,85500000
2000-03-09,12350,12450,11800,12100,1880050,-0.008199999999999999,2,-100,22786323500,1034550000000,85500000
2000-03-10,12350,12400,11700,11800,1127930,-0.0248,2,-300,13423558000,1008900000000,85500000
2000-03-13,11700,11800,11050,11200,1494630,-0.0508,2,-600,16983499000,957600000000,85500000
2000-03-14,11000,11200,10850,11000,1219110,-0.0179,2,-200,13367534500,940500000000,85500000
2000-03-15,10800,10950,10400,10600,1204980,-0.0364,2,-400,12776676500,906300000000,85500000
2000-03-16,10650,10850,9980,10050,1250320,-0.0519,2,-550,12966801100,859275000000,85500000
2000-03-17,10350,10600,10100,10250,1266730,0.0199,1,200,13067661000,876375000000,85500000
2000-03-20,10350,11200,10200,10900,1987150,0.0634,1,650,21464309000,931950000000,85500000
2000-03-21,10950,10950,10350,10350,968670,-0.050499999999999996,2,-550,10195299500,884925000000,85500000
2000-03-22,10500,10700,10150,10200,2267970,-0.014499999999999999,2,-150,23624676000,872100000000,85500000
2000-03-23,10600,10850,10250,10400,1930270,0.0196,1,200,20320296000,889200000000,85500000
2000-03-24,10300,10900,10300,10500,1798170,0.0096,1,100,18914726000,897750000000,85500000
2000-03-27,10950,11200,10600,10900,1751620,0.0381,1,400,19065802500,931950000000,85500000
2000-03-28,10700,10900,10600,10750,776930,-0.0138,2,-150,8333429000,919125000000,85500000
2000-03-29,10650,11100,10600,10950,1854680,0.018600000000000002,1,200,20095027000,936225000000,85500000
2000-03-30,10900,10950,10500,10500,1058960,-0.041100000000000005,2,-450,11387958000,897750000000,85500000
2000-03-31,10500,10800,10400,10700,758160,0.019,1,200,8018869000,914850000000,85500000
2000-04-03,10500,10750,9960,10000,620400,-0.0654,2,-700,6413292600,855000000000,85500000
2000-04-04,10000,10200,9610,9650,765020,-0.035,2,-350,7495517500,825075000000,85500000
2000-04-06,9640,9650,8850,9000,1065710,-0.0674,2,-650,9690266500,769500000000,85500000
2000-04-07,8860,9190,8860,9070,794980,0.0078000000000000005,1,70,7176933400,775485000000,85500000
2000-04-10,9100,9640,8920,9300,1249120,0.0254,1,230,11639088100,795150000000,85500000
2000-04-11,9300,9300,8800,8800,627170,-0.0538,2,-500,5628638900,752400000000,85500000
2000-04-12,8700,8700,8370,8500,1640850,-0.0341,2,-300,13979091000,726750000000,85500000
2000-04-14,8160,8350,7950,8100,932420,-0.0471,2,-400,7540932700,692550000000,85500000
2000-04-17,7000,7390,6890,6890,1848710,-0.1494,5,-1210,12939608000,589095000000,85500000
2000-04-18,7210,7400,6890,7350,2141020,0.0668,1,460,15366047200,628425000000,85500000
2000-04-19,7410,7650,7250,7300,2760980,-0.0068000000000000005,2,-50,20591226900,624150000000,85500000
2000-04-20,7150,7380,6950,7000,1354870,-0.041100000000000005,2,-300,9601787400,598500000000,85500000
2000-04-21,7100,7940,7050,7770,2666730,0.11,1,770,19963294700,664335000000,85500000
2000-04-24,7700,7700,7330,7350,946770,-0.0541,2,-420,7091348400,628425000000,85500000
2000-04-25,7280,7450,7200,7200,676640,-0.0204,2,-150,4926011100,615600000000,85500000
2000-04-26,7310,7480,6850,6900,1149860,-0.0417,2,-300,8197875600,589950000000,85500000
2000-04-27,6850,7140,6640,6900,842190,0.0,3,0,5770234100,589950000000,85500000
2000-04-28,6760,7030,6760,6910,1141370,0.0014000000000000002,1,10,7876272800,590805000000,85500000
2000-05-02,6810,7050,6750,7010,1012480,0.014499999999999999,1,100,6977981700,599355000000,85500000
2000-05-03,7100,7460,7050,7200,1789780,0.0271,1,190,12990718600,615600000000,85500000
2000-05-04,7300,7600,7110,7410,2361530,0.0292,1,210,17541076800,633555000000,85500000
2000-05-08,7550,7560,7320,7340,942260,-0.009399999999999999,2,-70,6981327300,627570000000,85500000
2000-05-09,7340,7340,7200,7220,604240,-0.0163,2,-120,4377758200,617310000000,85500000
2000-05-10,7100,7180,7060,7060,506900,-0.0222,2,-160,3597022000,603630000000,85500000
2000-05-12,7050,7140,6710,6790,668500,-0.0382,2,-270,4568285800,580545000000,85500000
2000-05-15,6700,6850,6500,6500,521760,-0.042699999999999995,2,-290,3458765400,555750000000,85500000
2000-05-16,6420,6600,6010,6130,1157480,-0.056900000000000006,2,-370,7120307700,524115000000,85500000
2000-05-17,6140,6280,5380,5500,1937000,-0.10279999999999999,2,-630,11518686600,470250000000,85500000
2000-05-18,5500,5590,5020,5250,1005570,-0.0455,2,-250,5298839100,448875000000,85500000
2000-05-19,5210,5650,5110,5600,1286750,0.0667,1,350,7016305200,478800000000,85500000
2000-05-22,5700,5740,5040,5080,962100,-0.0929,2,-520,5067551700,434340000000,85500000
2000-05-23,5000,5220,4950,5010,880590,-0.0138,2,-70,4466668500,428355000000,85500000
2000-05-24,4905,5400,4750,5200,1132300,0.0379,1,190,5769853850,444600000000,85500000
2000-05-25,5400,5980,5310,5980,1451550,0.15,4,780,8327819500,511290000000,85500000
2000-05-26,6000,6350,5500,5550,1431230,-0.0719,2,-430,8397029500,474525000000,85500000
2000-05-29,5300,6150,5210,5850,1187170,0.0541,1,300,6835198700,500175000000,85500000
2000-05-30,5950,6160,5900,6000,1095350,0.0256,1,150,6592195800,513000000000,85500000
2000-05-31,6340,6770,6200,6300,1878840,0.05,1,300,12061898200,538650000000,85500000
2000-06-01,6300,6400,6050,6280,894830,-0.0032,2,-20,5577764200,536940000000,85500000
2000-06-02,6700,6700,6200,6240,1274340,-0.0064,2,-40,8224906900,533520000000,85500000
2000-06-05,6600,6900,6350,6750,1773480,0.0817,1,510,11790744700,577125000000,85500000
2000-06-07,6610,7190,6610,7020,1980310,0.04,1,270,13742352100,600210000000,85500000
2000-06-08,7100,7190,6120,6280,1592770,-0.1054,2,-740,10747158500,536940000000,85500000
2000-06-09,6450,6880,6360,6800,1319210,0.0828,1,520,8660506700,581400000000,85500000
2000-06-12,6970,6970,6580,6850,1169580,0.0074,1,50,7937481300,585675000000,85500000
2000-06-13,6800,6980,6470,6500,795870,-0.051100000000000007,2,-350,5369764300,555750000000,85500000
2000-06-14,6700,6740,6400,6520,703730,0.0031,1,20,4589168100,557460000000,85500000
2000-06-15,6420,6480,6190,6270,660450,-0.0383,2,-250,4162649900,536085000000,85500000
2000-06-16,6020,6500,6020,6500,647460,0.036699999999999997,1,230,4082424400,555750000000,85500000
2000-06-19,6660,7060,6400,6400,1442080,-0.0154,2,-100,9793003900,547200000000,85500000
2000-06-20,6620,6700,6410,6700,671680,0.046900000000000004,1,300,4396302600,572850000000,85500000
2000-06-21,6800,6850,6610,6630,744950,-0.0104,2,-70,5007678600,566865000000,85500000
