date,open,high,low,close,volume,change,updown,comp,amount,marcap,shares
2015-10-02,68400,76100,62000,72800,2259313,0.0643,1,4400,161339478800,1601600000000,22000000
2015-10-05,74300,77000,72800,76600,408457,0.052199999999999996,1,3800,31065854800,1685200000000,22000000
2015-10-06,77700,78300,74600,76000,205539,-0.0078000000000000005,2,-600,15729987700,1672000000000,22000000
2015-10-07,75000,77600,75000,77000,162093,0.0132,1,1000,12446355400,1694000000000,22000000
2015-10-08,77000,77800,76100,77000,115875,0.0,3,0,8930365300,1694000000000,22000000
2015-10-12,77800,77800,75900,76300,143593,-0.0091,2,-700,10976437000,1678600000000,22000000
2015-10-13,76000,76900,75500,75900,101099,-0.0052,2,-400,7697555300,1669800000000,22000000
2015-10-14,76300,85700,76300,83400,625458,0.09880000000000001,1,7500,50829835800,1834800000000,22000000
2015-10-15,84000,89500,83900,88300,346696,0.0588,1,4900,30250366200,1942600000000,22000000
2015-10-16,89900,90000,86300,87400,174679,-0.0102,2,-900,15390649200,1922800000000,22000000
2015-10-19,87000,87900,84100,87900,237955,0.005699999999999999,1,500,20394850100,1933800000000,22000000
2015-10-20,89600,91800,84600,86900,271396,-0.011399999999999999,2,-1000,23886483264,1911800000000,22000000
2015-10-21,86900,88700,84800,86400,135929,-0.0058,2,-500,11719281300,1900800000000,22000000
2015-10-22,86400,86700,82600,82600,114030,-0.044000000000000004,2,-3800,9658897300,1817200000000,22000000
2015-10-23,83200,86300,81100,83500,140168,0.0109,1,900,11821188800,1837000000000,22000000
2015-10-26,84000,84600,80000,82400,124196,-0.0132,2,-1100,10173531800,1812800000000,22000000
2015-10-27,82200,88500,80500,88000,215791,0.068,1,5600,18257486800,1936000000000,22000000
2015-10-28,88600,95500,87100,95000,376123,0.0795,1,7000,34660954800,2090000000000,22000000
2015-10-29,96000,96300,92400,96000,168972,0.0105,1,1000,15982594100,2112000000000,22000000
2015-10-30,95000,95900,92500,93600,143719,-0.025,2,-2400,13477520000,2059200000000,22000000
2015-11-02,94000,95100,91700,94700,188402,0.0118,1,1100,17510593200,2083400000000,22000000
2015-11-03,95000,96300,93600,95000,123260,0.0032,1,300,11732801600,2090000000000,22000000
2015-11-04,94800,94800,90800,93500,139493,-0.0158,2,-1500,12893566900,2057000000000,22000000
2015-11-05,92500,93100,90100,92200,113578,-0.0139,2,-1300,10372545000,2028400000000,22000000
2015-11-06,91000,95300,89700,94900,140823,0.029300000000000003,1,2700,13219759600,2087800000000,22000000
2015-11-09,94600,94900,90400,90900,94797,-0.0421,2,-4000,8743513000,1999800000000,22000000
2015-11-10,89800,89800,83500,83500,190556,-0.0814,2,-7400,16405635800,1837000000000,22000000
2015-11-11,84300,92000,83600,90000,128165,0.07780000000000001,1,6500,11255059300,1980000000000,22000000
2015-11-12,90000,93400,89500,92800,71579,0.0311,1,2800,6635962300,2041600000000,22000000
2015-11-13,90600,94300,90600,93200,50659,0.0043,1,400,4691619100,2050400000000,22000000
2015-11-16,93000,110000,91200,104500,415147,0.12119999999999999,1,11300,41951175400,2299000000000,22000000
2015-11-17,108500,110500,102500,105000,240557,0.0048,1,500,25264646000,2310000000000,22000000
2015-11-18,105000,108500,103000,108500,145334,0.0333,1,3500,15478034500,2387000000000,22000000
2015-11-19,110500,111500,107500,108500,84925,0.0,3,0,9274788000,2387000000000,22000000
2015-11-20,110000,117000,108500,111000,114063,0.023,1,2500,12785662000,2442000000000,22000000
2015-11-23,112500,114500,108500,109500,98674,-0.013500000000000002,2,-1500,10917425500,2409000000000,22000000
