date,open,high,low,close,volume,change,updown,comp,amount,marcap,shares
2022-01-27,597000,598000,450000,505000,15946992,-0.15410000000000001,2,-92000,8155323955500,118170000000000,234000000
2022-01-28,476000,483000,445000,450000,4559773,-0.10890000000000001,2,-55000,2104994467000,105300000000000,234000000
2022-02-03,458000,495500,441000,477000,2918435,0.06,1,27000,1375706997000,111618000000000,234000000
2022-02-04,476500,505000,476000,504000,2088996,0.056600000000000004,1,27000,1038186622000,117936000000000,234000000
2022-02-07,520000,548000,511000,548000,1911176,0.0873,1,44000,1020155389000,128232000000000,234000000
2022-02-08,554000,577000,524000,542000,2583335,-0.0109,2,-6000,1435829601000,126828000000000,234000000
2022-02-09,550000,557000,505000,511000,2070704,-0.0572,2,-31000,1088038113000,119574000000000,234000000
2022-02-10,507000,507000,471500,474500,2306815,-0.07139999999999999,2,-36500,1116185235500,111033000000000,234000000
2022-02-11,463500,484000,457000,482000,1411055,0.0158,1,7500,672692384000,112788000000000,234000000
2022-02-14,473000,482000,459500,463000,3285402,-0.0394,2,-19000,1530528935000,108342000000000,234000000
2022-02-15,460000,468000,450000,451500,825406,-0.0248,2,-11500,375853791000,105651000000000,234000000
2022-02-16,464000,465000,449500,455500,961669,0.0089,1,4000,437351352000,106587000000000,234000000
2022-02-17,454500,460000,447000,454500,711183,-0.0022,2,-1000,322829295500,106353000000000,234000000
2022-02-18,448500,454500,448000,454500,418728,0.0,3,0,188982367500,106353000000000,234000000
2022-02-21,450000,453000,447500,453000,327509,-0.0033,2,-1500,147564231000,106002000000000,234000000
2022-02-22,444500,448000,440000,440000,557179,-0.0287,2,-13000,246662504000,102960000000000,234000000
2022-02-23,443500,446000,438000,442000,381560,0.0045000000000000005,1,2000,168668926000,103428000000000,234000000
2022-02-24,435000,438000,416000,416500,883314,-0.057699999999999994,2,-25500,374397576000,97461000000000,234000000
2022-02-25,425000,430000,418500,420000,465140,0.0084,1,3500,197220478000,98280000000000,234000000
2022-02-28,404500,422000,404000,412000,970088,-0.019,2,-8000,397894926500,96408000000000,234000000
2022-03-02,411000,434500,408500,434000,895460,0.053399999999999996,1,22000,379242911000,101556000000000,234000000
2022-03-03,439500,441000,430000,437000,460544,0.0069,1,3000,200714207000,102258000000000,234000000
2022-03-04,433500,436500,427000,428500,310930,-0.0195,2,-8500,133675199000,100269000000000,234000000
2022-03-07,420500,421000,412000,414000,370588,-0.0338,2,-14500,154053589000,96876000000000,234000000
2022-03-08,406000,417000,402500,410500,393413,-0.0085,2,-3500,161982437000,96057000000000,234000000
2022-03-10,421000,430500,417500,417500,1076446,0.0171,1,7000,454801061000,97695000000000,234000000
2022-03-11,411500,412000,390500,391000,1811373,-0.0635,2,-26500,715532886694,91494000000000,234000000
2022-03-14,385000,385500,361500,363500,1999479,-0.0703,2,-27500,731908020500,85059000000000,234000000
2022-03-15,363000,370000,355000,359500,1064506,-0.011000000000000001,2,-4000,385445614500,84123000000000,234000000
2022-03-16,367000,367500,360000,363500,625328,0.0111,1,4000,227521975500,85059000000000,234000000
2022-03-17,374000,381500,373000,376000,816118,0.0344,1,12500,307688803000,87984000000000,234000000
2022-03-18,377500,384000,370500,382000,643915,0.016,1,6000,242690475000,89388000000000,234000000
2022-03-21,385000,397500,384000,386000,655247,0.0105,1,4000,256448327000,90324000000000,234000000
2022-03-22,388500,399000,388000,397500,413972,0.0298,1,11500,163222153000,93015000000000,234000000
2022-03-23,403000,407500,398000,407000,523438,0.0239,1,9500,211178472000,95238000000000,234000000
2022-03-24,405000,410000,398000,408000,320746,0.0025,1,1000,129636238000,95472000000000,234000000
2022-03-25,418500,444000,417500,439000,1528600,0.076,1,31000,663877825000,102726000000000,234000000
2022-03-28,439000,443000,430000,436500,481311,-0.005699999999999999,2,-2500,210766810000,102141000000000,234000000
2022-03-29,443000,448500,440500,441000,375894,0.0103,1,4500,166590100000,103194000000000,234000000
2022-03-30,444500,445000,427000,440500,440195,-0.0011,2,-500,192042959500,103077000000000,234000000
2022-03-31,437000,444000,435000,442000,272318,0.0034000000000000002,1,1500,120293268000,103428000000000,234000000
2022-04-01,438500,439500,425000,428000,456080,-0.0317,2,-14000,197234422000,100152000000000,234000000
2022-04-04,422000,440500,417500,438500,362727,0.0245,1,10500,156602111500,102609000000000,234000000
2022-04-05,442500,450000,437000,449000,491410,0.0239,1,10500,218752161000,105066000000000,234000000
2022-04-06,436000,448500,436000,444500,415524,-0.01,2,-4500,183675493500,104013000000000,234000000
2022-04-07,438000,442000,431000,436500,316409,-0.018000000000000002,2,-8000,138064435000,102141000000000,234000000
2022-04-08,449000,449000,437500,439500,395489,0.0069,1,3000,175252113500,102843000000000,234000000
2022-04-11,435000,435500,423500,425000,289205,-0.033,2,-14500,123918833000,99450000000000,234000000
2022-04-12,417000,421500,410000,411000,382240,-0.0329,2,-14000,157982450500,96174000000000,234000000
2022-04-13,414000,431500,404000,431000,386194,0.0487,1,20000,162693896000,100854000000000,234000000
2022-04-14,434000,441000,427500,441000,321259,0.0232,1,10000,139795772500,103194000000000,234000000
2022-04-15,435500,445000,431500,435000,307347,-0.013600000000000001,2,-6000,135286720000,101790000000000,234000000
2022-04-18,434000,439500,432500,433000,115652,-0.0046,2,-2000,50255678500,101322000000000,234000000
2022-04-19,438000,441500,434000,435500,124432,0.0058,1,2500,54329464000,101907000000000,234000000
2022-04-20,437500,438000,432000,436500,202657,0.0023,1,1000,88180385500,102141000000000,234000000
2022-04-21,437500,440000,434500,437000,234128,0.0011,1,500,102241598500,102258000000000,234000000
2022-04-22,434000,437500,428500,436500,266806,-0.0011,2,-500,115174095180,102141000000000,234000000
2022-04-25,430000,436000,428500,433000,254452,-0.008,2,-3500,110021355000,101322000000000,234000000
2022-04-26,432000,432000,414500,423500,520529,-0.0219,2,-9500,219350759000,99099000000000,234000000
2022-04-27,399500,427000,397000,418000,1478354,-0.013000000000000001,2,-5500,607545078000,97812000000000,234000000
2022-04-28,420500,421000,412500,417500,358325,-0.0012,2,-500,149150305000,97695000000000,234000000
2022-04-29,418000,426000,414000,417000,332582,-0.0012,2,-500,139720968000,97578000000000,234000000
2022-05-02,412500,414500,407000,408500,365546,-0.0204,2,-8500,149419900500,95589000000000,234000000
2022-05-03,409500,415000,406500,407500,254850,-0.0024,2,-1000,104589245000,95355000000000,234000000
2022-05-04,409500,410500,399500,401500,364195,-0.0147,2,-6000,146865830000,93951000000000,234000000
2022-05-06,395000,401500,390000,401500,350875,0.0,3,0,139360538000,93951000000000,234000000
2022-05-09,397000,400000,390000,394000,289113,-0.0187,2,-7500,114076485500,92196000000000,234000000
2022-05-10,387500,398500,382000,393500,407928,-0.0013,2,-500,159437583000,92079000000000,234000000
2022-05-11,394000,398000,391500,391500,239355,-0.0051,2,-2000,94448041000,91611000000000,234000000
2022-05-12,390000,395500,386000,388000,251570,-0.0089,2,-3500,98271466500,90792000000000,234000000
2022-05-13,390500,401500,390500,400500,228636,0.0322,1,12500,90861595500,93717000000000,234000000
2022-05-16,407000,407500,397000,400500,200731,0.0,3,0,80541813500,93717000000000,234000000
2022-05-17,400500,411000,399000,408500,230327,0.02,1,8000,93232183500,95589000000000,234000000
2022-05-18,410000,413000,407500,410000,233063,0.0037,1,1500,95504388000,95940000000000,234000000
2022-05-19,398500,417000,398500,415500,320709,0.0134,1,5500,131749875500,97227000000000,234000000
2022-05-20,421000,439000,418000,434000,881979,0.044500000000000005,1,18500,380616741500,101556000000000,234000000
2022-05-23,438500,444000,432500,438000,361437,0.0092,1,4000,158222948000,102492000000000,234000000
2022-05-24,438500,444000,436500,438500,350284,0.0011,1,500,154111345500,102609000000000,234000000
2022-05-25,439000,439000,422000,426500,365195,-0.0274,2,-12000,156116741000,99801000000000,234000000
2022-05-26,426500,432500,424500,430500,162583,0.009399999999999999,1,4000,69909988500,100737000000000,234000000
2022-05-27,434500,437000,427500,430500,214801,0.0,3,0,92417956500,100737000000000,234000000
2022-05-30,434500,440000,432000,439500,229834,0.0209,1,9000,100590444000,102843000000000,234000000
2022-05-31,441500,444000,436000,444000,345830,0.0102,1,4500,152722959500,103896000000000,234000000
2022-06-02,440500,442000,438000,440500,153596,-0.0079,2,-3500,67591562000,103077000000000,234000000
2022-06-03,443500,444000,437500,437500,154981,-0.0068000000000000005,2,-3000,68167034250,102375000000000,234000000
2022-06-07,436500,439500,432000,432000,180249,-0.0126,2,-5500,78448597000,101088000000000,234000000
2022-06-08,432500,434500,422500,425500,215828,-0.015,2,-6500,92160988000,99567000000000,234000000
2022-06-09,426000,426000,419000,422500,208712,-0.0070999999999999995,2,-3000,88237112000,98865000000000,234000000
2022-06-10,418000,426000,412500,425000,285077,0.0059,1,2500,119263359000,99450000000000,234000000
2022-06-13,414000,420500,413500,415000,267003,-0.0235,2,-10000,111070114500,97110000000000,234000000
2022-06-14,411000,432500,410500,426500,417106,0.0277,1,11500,177026330500,99801000000000,234000000
2022-06-15,426000,427500,417000,420000,275832,-0.0152,2,-6500,116242221000,98280000000000,234000000
2022-06-16,424500,439500,424500,427000,365836,0.0167,1,7000,158223107500,99918000000000,234000000
2022-06-17,419500,430000,417000,425500,1211937,-0.0034999999999999996,2,-1500,514412425000,99567000000000,234000000
2022-06-20,426500,427000,408500,411500,285056,-0.0329,2,-14000,117916835500,96291000000000,234000000
2022-06-21,414500,416500,406000,413000,204026,0.0036,1,1500,83799535500,96642000000000,234000000
