Time,open,high,low,close,volume,value
2020-10-25 9:00,14760000,15000000,14556000,14690000,2314.369467,34126819043
2020-10-26 9:00,14687000,14920000,14358000,14764000,3031.758804,44615941981
2020-10-27 9:00,14772000,15457000,14683000,15312000,3964.12532,59577301258
2020-10-28 9:00,15300000,15557000,14635000,15060000,5752.669847,87155753225
2020-10-29 9:00,15060000,15379000,14703000,15207000,3516.504745,52840743145
2020-10-30 9:00,15207000,15460000,14899000,15340000,3753.488127,56891439162
2020-10-31 9:00,15340000,15800000,15205000,15606000,4066.292449,63229851058
2020-11-01 9:00,15606000,15710000,15461000,15574000,1806.621226,28140915523
2020-11-02 9:00,15574000,15641000,15011000,15397000,3643.765543,55967421351
2020-11-03 9:00,15396000,15900000,15150000,15881000,3888.004126,60156003001
2020-11-04 9:00,15881000,16020000,15431000,15959000,4673.775324,73601397517
2020-11-05 9:00,15959000,17540000,15900000,17352000,9583.127614,1.59571E+11
2020-11-06 9:00,17352000,17789000,17060000,17397000,7786.574967,1.35755E+11
2020-11-07 9:00,17397000,17613000,16252000,16647000,5131.604249,87428894446
2020-11-08 9:00,16650000,17388000,16520000,17297000,3402.968942,57830395158
2020-11-09 9:00,17276000,17550000,16695000,17106000,5112.232518,87553016404
2020-11-10 9:00,17106000,17190000,16872000,17035000,2656.019968,45280472574
2020-11-11 9:00,17035000,17600000,17009000,17439000,3969.121072,68527517495
2020-11-12 9:00,17439000,17979000,17200000,17954000,5384.627474,94788178121
2020-11-13 9:00,17952000,18225000,17640000,17988000,4395.696601,79121871827
2020-11-14 9:00,17988000,18000000,17455000,17796000,2786.768757,49270818685
2020-11-15 9:00,17796000,17831000,17545000,17670000,1842.978329,32614011526
2020-11-16 9:00,17670000,18450000,17555000,18275000,4191.31591,75525657706
2020-11-17 9:00,18275000,19417000,18207000,19332000,6075.982596,1.13734E+11
2020-11-18 9:00,19344000,20280000,18865000,19714000,11453.54479,2.25798E+11
2020-11-19 9:00,19714000,20080000,19385000,19802000,5978.142595,1.18358E+11
2020-11-20 9:00,19800000,20795000,19771000,20627000,6145.389983,1.24819E+11
2020-11-21 9:00,20627000,21025000,20200000,20351000,6136.933141,1.26672E+11
2020-11-22 9:00,20348000,20595000,19525000,20307000,7886.901086,1.58316E+11
2020-11-23 9:00,20307000,20528000,19901000,20100000,5709.959632,1.15543E+11
2020-11-24 9:00,20100000,21390000,19937000,20957000,15373.88018,3.19379E+11
