date,open,high,low,close,volume,change,updown,comp,amount,marcap,shares
2000-01-04,16879,20794,16748,19619,5680,-0.0022,2.0,-44.0,121606500.0,5326039400.0,236188.0
2000-01-05,19576,20011,19532,19576,4360,-0.0022,2.0,-43.0,98376500.0,5314230000.0,236188.0
2000-01-06,19837,20185,19141,19141,2790,-0.0222,2.0,-435.0,61928000.0,5196136000.0,236188.0
2000-01-07,19141,20185,18314,20185,4790,0.0545,1.0,1044.0,106651000.0,5479561600.0,236188.0
2000-01-10,19141,21142,19141,20620,4850,0.0216,1.0,435.0,110296000.0,5597655600.0,236188.0
2000-01-11,20881,21316,18706,19576,4190,-0.0506,2.0,-1044.0,93975500.0,5314230000.0,236188.0
2000-01-12,19402,20359,18706,18793,2780,-0.04,2.0,-783.0,60911500.0,5101660800.0,236188.0
2000-01-13,18358,19141,17488,19141,1910,0.0185,1.0,348.0,40486000.0,5196136000.0,236188.0
2000-01-14,17923,19141,17923,18923,1360,-0.0113999999999999,2.0,-218.0,29280000.0,5137089000.0,236188.0
2000-01-17,17836,19097,17575,18967,4670,0.0023,1.0,44.0,99291500.0,5148898400.0,236188.0
2000-01-18,18706,18706,17923,18706,1960,-0.0138,2.0,-261.0,41332000.0,5078042000.0,236188.0
2000-01-19,18271,18271,17401,17401,1270,-0.0698,2.0,-1305.0,25936000.0,4723760000.0,236188.0
2000-01-20,18271,18271,16531,17401,1380,0.0,3.0,0.0,27154500.0,4723760000.0,236188.0
2000-01-21,16531,17401,16531,17401,2410,0.0,3.0,0.0,46891000.0,4723760000.0,236188.0
2000-01-24,16531,17749,16531,17662,1220,0.015,1.0,261.0,24455000.0,4794616400.0,236188.0
2000-01-25,17401,17836,16792,17401,1090,-0.0148,2.0,-261.0,21735000.0,4723760000.0,236188.0
2000-01-26,16096,17662,16096,17314,190,-0.005,2.0,-87.0,3708000.0,4700141200.0,236188.0
2000-01-27,16531,19837,16531,18880,12880,0.0905,1.0,1566.0,275617000.0,5125279600.0,236188.0
2000-01-28,20011,20011,17792,17966,6890,-0.0484,2.0,-914.0,149198500.0,4877282200.0,236188.0
2000-01-31,19141,19576,17705,17705,6430,-0.0144999999999999,2.0,-261.0,136412500.0,4806425800.0,236188.0
2000-02-01,18706,18706,17749,18140,3450,0.0246,1.0,435.0,71334000.0,4924519800.0,236188.0
2000-02-02,17836,18619,17836,18532,2170,0.0216,1.0,392.0,45283000.0,5030804400.0,236188.0
2000-02-03,19054,19402,17836,17966,3590,-0.0305,2.0,-566.0,77229000.0,4877282200.0,236188.0
2000-02-07,18053,18445,18010,18401,1750,0.0242,1.0,435.0,36507000.0,4995376200.0,236188.0
2000-02-08,18271,18662,17923,17966,2040,-0.0236,2.0,-435.0,42645500.0,4877282200.0,236188.0
2000-02-09,18271,18923,17923,18227,2650,0.0144999999999999,1.0,261.0,56099000.0,4948138600.0,236188.0
2000-02-10,18227,18532,17444,17575,830,-0.0358,2.0,-652.0,16898000.0,4770997600.0,236188.0
2000-02-11,16705,18967,16531,18619,4840,0.0594,1.0,1044.0,96790500.0,5054423200.0,236188.0
2000-02-14,17923,18706,17053,17227,4250,-0.0748,2.0,-1392.0,86545500.0,4676522400.0,236188.0
2000-02-15,17836,17836,16618,16618,2270,-0.0354,2.0,-609.0,44171500.0,4511190800.0,236188.0
2000-02-16,16226,17227,16226,16879,380,0.0157,1.0,261.0,7382500.0,4582047200.0,236188.0
2000-02-17,16531,17836,16531,17836,5000,0.0567,1.0,957.0,100512000.0,4841854000.0,236188.0
2000-02-18,18706,20011,17923,18793,16240,0.0537,1.0,957.0,357181500.0,5101660800.0,236188.0
2000-02-21,18271,19489,17836,17836,7080,-0.0509,2.0,-957.0,148654500.0,4841854000.0,236188.0
2000-02-22,17444,17836,16618,17009,2240,-0.0463,2.0,-827.0,44195500.0,4617475400.0,236188.0
2000-02-23,17009,17836,16705,17401,900,0.023,1.0,392.0,17895000.0,4723760000.0,236188.0
2000-02-24,16705,18227,16705,17401,1650,0.0,3.0,0.0,33088000.0,4723760000.0,236188.0
2000-02-25,16748,17270,16705,16792,1870,-0.035,2.0,-609.0,36147000.0,4558428400.0,236188.0
2000-02-28,17531,17531,16531,16879,1100,0.0052,1.0,87.0,21067500.0,4582047200.0,236188.0
2000-02-29,17401,17749,16966,17140,1770,0.0155,1.0,261.0,35371000.0,4652903600.0,236188.0
2000-03-02,16792,19706,16792,19706,10850,0.1497,4.0,2566.0,233274000.0,5349658200.0,236188.0
2000-03-03,19706,19706,17923,19315,2430,-0.0199,2.0,-391.0,53335500.0,5243373600.0,236188.0
2000-03-06,19141,19576,18488,19141,1640,-0.009,2.0,-174.0,35836000.0,5196136000.0,236188.0
2000-03-07,18706,18793,18053,18793,3050,-0.0182,2.0,-348.0,64792500.0,5101660800.0,236188.0
2000-03-08,17531,18793,17531,18749,750,-0.0023,2.0,-44.0,15962000.0,5089851400.0,236188.0
2000-03-09,18793,19054,18271,18706,720,-0.0023,2.0,-43.0,15372000.0,5078042000.0,236188.0
2000-03-10,18619,18880,17575,17836,4110,-0.0465,2.0,-870.0,84625000.0,4841854000.0,236188.0
2000-03-13,17836,18010,17531,17966,3280,0.0073,1.0,130.0,67084000.0,4877282200.0,236188.0
2000-03-14,17401,17401,17140,17140,320,-0.046,2.0,-826.0,6325000.0,4652903600.0,236188.0
2000-03-15,16966,18314,16574,18097,6280,0.0558,1.0,957.0,129075000.0,4912710400.0,236188.0
2000-03-16,18488,20011,17618,19489,11820,0.0769,1.0,1392.0,261350000.0,5290611200.0,236188.0
2000-03-17,19489,20446,17401,17401,6740,-0.1071,2.0,-2088.0,145211000.0,4723760000.0,236188.0
2000-03-20,17401,18227,17227,17227,2740,-0.01,2.0,-174.0,54982500.0,4676522400.0,236188.0
2000-03-21,18010,18010,16618,17531,5200,0.0177,1.0,304.0,103033500.0,4759188200.0,236188.0
2000-03-22,16661,17966,16661,17792,3910,0.0149,1.0,261.0,78069000.0,4830044600.0,236188.0
2000-03-23,17618,17749,16966,17575,1860,-0.0121999999999999,2.0,-217.0,37092000.0,4770997600.0,236188.0
2000-03-24,16966,17836,16966,17836,1640,0.0149,1.0,261.0,33008000.0,4841854000.0,236188.0
2000-03-27,16966,18010,16966,17053,2290,-0.0438999999999999,2.0,-783.0,45769500.0,4629284800.0,236188.0
2000-03-28,17488,17488,17053,17053,270,0.0,3.0,0.0,5297000.0,4629284800.0,236188.0
2000-03-29,16879,17357,16879,17270,540,0.0128,1.0,217.0,10496500.0,4688331800.0,236188.0
2000-03-30,16966,17401,16531,16618,2420,-0.0378,2.0,-652.0,47111000.0,4511190800.0,236188.0
2000-03-31,16705,16792,16183,16792,3620,0.0105,1.0,174.0,68760000.0,4558428400.0,236188.0
2000-04-03,16531,16966,16531,16531,1830,-0.0155,2.0,-261.0,35177500.0,4487572000.0,236188.0
2000-04-04,16531,16618,16096,16531,1320,0.0,3.0,0.0,24776000.0,4487572000.0,236188.0
2000-04-06,16183,16748,16183,16531,600,0.0,3.0,0.0,11286500.0,4487572000.0,236188.0
2000-04-07,16183,17836,16096,16966,6610,0.0263,1.0,435.0,127618500.0,4605666000.0,236188.0
2000-04-10,16966,16966,16531,16705,580,-0.0154,2.0,-261.0,11114000.0,4534809600.0,236188.0
2000-04-11,16966,16966,16096,16487,2820,-0.013,2.0,-218.0,53153000.0,4475762600.0,236188.0
2000-04-12,16357,16444,16096,16444,1320,-0.0026,2.0,-43.0,24585000.0,4463953200.0,236188.0
2000-04-14,16183,16444,14965,15661,1090,-0.0475999999999999,2.0,-783.0,20377000.0,4251384000.0,236188.0
2000-04-17,15661,15661,14356,14617,1070,-0.0667,2.0,-1044.0,18325000.0,3967958400.0,236188.0
2000-04-18,16009,16009,15226,15574,200,0.0655,1.0,957.0,3514500.0,4227765200.0,236188.0
2000-04-19,15574,15835,15400,15400,1300,-0.0112,2.0,-174.0,23278000.0,4180527600.0,236188.0
2000-04-20,15487,15661,15269,15313,1070,-0.0056,2.0,-87.0,19181000.0,4156908800.0,236188.0
2000-04-21,15487,15487,15487,15487,100,0.0113999999999999,1.0,174.0,1780000.0,4204146400.0,236188.0
2000-04-24,15487,15835,15487,15835,330,0.0225,1.0,348.0,5906000.0,4298621600.0,236188.0
2000-04-25,15400,15574,15400,15574,70,-0.0165,2.0,-261.0,1243000.0,4227765200.0,236188.0
2000-04-26,15226,17401,15226,17401,1060,0.1173,1.0,1827.0,20163500.0,4723760000.0,236188.0
2000-04-27,16531,16531,15226,15661,390,-0.1,2.0,-1740.0,6856000.0,4251384000.0,236188.0
2000-04-28,15226,15574,15226,15574,410,-0.0056,2.0,-87.0,7313000.0,4227765200.0,236188.0
2000-05-02,15661,16270,15226,16270,2050,0.0447,1.0,696.0,37431500.0,4416715600.0,236188.0
2000-05-03,0,0,0,16270,0,0.0,0.0,0.0,0.0,4416715600.0,236188.0
2000-05-04,16313,18706,16313,18445,7630,0.1336999999999999,1.0,2175.0,159023500.0,5007185600.0,236188.0
2000-05-08,17227,18184,15791,16531,5250,-0.1038,2.0,-1914.0,98961000.0,4487572000.0,236188.0
2000-05-09,15835,16487,15835,16183,1680,-0.0210999999999999,2.0,-348.0,31239500.0,4393096800.0,236188.0
2000-05-10,15704,16270,15487,16270,1490,0.0054,1.0,87.0,26754500.0,4416715600.0,236188.0
2000-05-12,16444,16444,15748,15748,110,-0.0321,2.0,-522.0,2053000.0,4275002800.0,236188.0
2000-05-15,15487,15835,15487,15835,890,0.0055,1.0,87.0,16059000.0,4298621600.0,236188.0
2000-05-16,16444,16531,15226,15835,690,0.0,3.0,0.0,12544500.0,4298621600.0,236188.0
2000-05-17,15530,15661,15530,15530,730,-0.0192,2.0,-305.0,13038000.0,4215955800.0,236188.0
2000-05-18,15313,16096,15226,16096,2250,0.0364,1.0,566.0,39571000.0,4369478000.0,236188.0
2000-05-19,15226,15226,15226,15226,380,-0.0541,2.0,-870.0,6650000.0,4133290000.0,236188.0
2000-05-22,15226,16052,15226,15269,2070,0.0029,1.0,43.0,36717500.0,4145099400.0,236188.0
2000-05-23,15661,16966,15313,16357,610,0.0712,1.0,1088.0,11160000.0,4440334400.0,236188.0
2000-05-24,16096,16096,15226,15226,1000,-0.0691,2.0,-1131.0,17510500.0,4133290000.0,236188.0
2000-05-25,15269,16400,15226,16400,800,0.0771,1.0,1174.0,14219500.0,4452143800.0,236188.0
2000-05-26,16096,16096,15269,15269,280,-0.069,2.0,-1131.0,4925000.0,4145099400.0,236188.0
2000-05-29,15226,15835,15226,15487,100,0.0141999999999999,1.0,218.0,1762000.0,4204146400.0,236188.0
2000-05-30,15617,15617,15617,15617,10,0.0084,1.0,130.0,179500.0,4239574600.0,236188.0
2000-05-31,15226,16444,15226,16444,1340,0.0529,1.0,827.0,24088500.0,4463953200.0,236188.0
2000-06-01,16705,16966,16444,16444,1300,0.0,3.0,0.0,24791500.0,4463953200.0,236188.0
2000-06-02,16618,16705,15661,16618,1090,0.0106,1.0,174.0,20643000.0,4511190800.0,236188.0
2000-06-05,16444,17314,16444,16444,1630,-0.0105,2.0,-174.0,31630500.0,4463953200.0,236188.0
2000-06-07,16618,17227,16270,17227,490,0.0475999999999999,1.0,783.0,9537500.0,4676522400.0,236188.0
2000-06-08,17227,17227,15704,16357,600,-0.0504999999999999,2.0,-870.0,11313000.0,4440334400.0,236188.0
2000-06-09,16357,16792,16270,16792,140,0.0266,1.0,435.0,2668000.0,4558428400.0,236188.0
2000-06-12,15835,18706,15835,16835,2940,0.0026,1.0,43.0,59435500.0,4570237800.0,236188.0
2000-06-13,17836,17836,16139,16139,3270,-0.0412999999999999,2.0,-696.0,63439500.0,4381287400.0,236188.0
2000-06-14,17836,17836,16531,16966,590,0.0512,1.0,827.0,11460000.0,4605666000.0,236188.0
2000-06-15,16270,16574,16270,16531,420,-0.0256,2.0,-435.0,7981000.0,4487572000.0,236188.0
2000-06-16,16531,16531,15748,16487,90,-0.0026,2.0,-44.0,1655500.0,4475762600.0,236188.0
2000-06-19,15661,16487,15661,15661,890,-0.0501,2.0,-826.0,16151000.0,4251384000.0,236188.0
2000-06-20,15356,15661,15356,15661,190,0.0,3.0,0.0,3402500.0,4251384000.0,236188.0
2000-06-21,15661,15661,15661,15661,50,0.0,3.0,0.0,900000.0,4251384000.0,236188.0
2000-06-22,15661,16531,15661,16531,360,0.0556,1.0,870.0,6580500.0,4487572000.0,236188.0
2000-06-23,16183,16531,16183,16531,1010,0.0,3.0,0.0,19178000.0,4487572000.0,236188.0
2000-06-26,16183,17401,16183,17183,320,0.0395,1.0,652.0,6323500.0,4664713000.0,236188.0
2000-06-27,17140,17401,16618,16966,1070,-0.0127,2.0,-217.0,20850500.0,4605666000.0,236188.0
2000-06-28,16966,17183,16792,17140,250,0.0103,1.0,174.0,4840000.0,4652903600.0,236188.0
2000-06-29,16270,17096,16270,17096,350,-0.0025,2.0,-44.0,6554500.0,4641094200.0,236188.0
2000-06-30,0,0,0,16966,0,-0.0076,2.0,-130.0,0.0,4605666000.0,236188.0
2000-07-03,16531,17270,16531,16618,300,-0.0204999999999999,2.0,-348.0,5774500.0,4511190800.0,236188.0
2000-07-04,16792,17314,16705,16792,1160,0.0105,1.0,174.0,22791000.0,4558428400.0,236188.0
2000-07-05,16966,16966,16531,16966,1740,0.0104,1.0,174.0,33830000.0,4605666000.0,236188.0
2000-07-06,17401,18010,17227,17227,1840,0.0154,1.0,261.0,37588000.0,4676522400.0,236188.0
2000-07-07,17053,17662,17053,17662,470,0.0253,1.0,435.0,9534000.0,4794616400.0,236188.0
2000-07-10,17836,17836,17836,17836,270,0.0098999999999999,1.0,174.0,5535000.0,4841854000.0,236188.0
2000-07-11,17401,17401,17227,17227,190,-0.0341,2.0,-609.0,3782000.0,4676522400.0,236188.0
2000-07-12,17401,17836,17227,17836,2440,0.0354,1.0,609.0,49342000.0,4841854000.0,236188.0
