date,open,high,low,close,volume,change,updown,comp,amount,marcap,shares
2000-01-04,7000,8390,7000,8000,42580,0.0959,1.0,700.0,334010900.0,25005456000.0,3125682.0
2000-01-05,8050,8700,7500,8300,65710,0.0375,1.0,300.0,540497100.0,25943160600.0,3125682.0
2000-01-06,8490,8600,7510,7700,35650,-0.0723,2.0,-600.0,292110500.0,24067751400.0,3125682.0
2000-01-07,7840,8500,7550,8000,82790,0.039,1.0,300.0,663568200.0,25005456000.0,3125682.0
2000-01-10,8210,8300,7800,7800,58550,-0.025,2.0,-200.0,466652500.0,24380319600.0,3125682.0
2000-01-11,7800,8350,7620,8200,75320,0.0513,1.0,400.0,609327200.0,25630592400.0,3125682.0
2000-01-12,8250,8350,7820,7910,74780,-0.0354,2.0,-290.0,604308500.0,24724144620.0,3125682.0
2000-01-13,8200,8200,7610,7800,38440,-0.0139,2.0,-110.0,301965200.0,24380319600.0,3125682.0
2000-01-14,7800,7800,7200,7200,51290,-0.0769,2.0,-600.0,382987300.0,22504910400.0,3125682.0
2000-01-17,7310,7570,7250,7300,24820,0.0139,1.0,100.0,183426200.0,22817478600.0,3125682.0
2000-01-18,7300,7450,7100,7310,34170,0.0014,1.0,10.0,246994500.0,22848735420.0,3125682.0
2000-01-19,7200,7400,7000,7000,43110,-0.0424,2.0,-310.0,309303000.0,21879774000.0,3125682.0
2000-01-20,6950,7850,6630,7450,94780,0.0643,1.0,450.0,691965100.0,23286330900.0,3125682.0
2000-01-21,7050,7590,7000,7250,38730,-0.0268,2.0,-200.0,283498800.0,22661194500.0,3125682.0
2000-01-24,7250,7420,7200,7200,27680,-0.0069,2.0,-50.0,201990700.0,22504910400.0,3125682.0
2000-01-25,7300,7400,7010,7010,18790,-0.0264,2.0,-190.0,135770900.0,21911030820.0,3125682.0
2000-01-26,7000,7350,6800,7000,20680,-0.0014,2.0,-10.0,146273400.0,21879774000.0,3125682.0
2000-01-27,6900,8000,6900,7100,64190,0.0143,1.0,100.0,479817900.0,22192342200.0,3125682.0
2000-01-28,7400,7450,7130,7130,26050,0.0042,1.0,30.0,188594000.0,22286112660.0,3125682.0
2000-01-31,7350,7350,7000,7150,23480,0.0028,1.0,20.0,167699800.0,22348626300.0,3125682.0
2000-02-01,7150,7270,7100,7110,28080,-0.0056,2.0,-40.0,201535200.0,22223599020.0,3125682.0
2000-02-02,7270,7980,7120,7700,137100,0.083,1.0,590.0,1045467800.0,24067751400.0,3125682.0
2000-02-03,7900,7900,7310,7310,61980,-0.0506,2.0,-390.0,464210200.0,22848735420.0,3125682.0
2000-02-07,7470,7600,7300,7300,36410,-0.0014,2.0,-10.0,268513300.0,22817478600.0,3125682.0
2000-02-08,7490,7570,7200,7290,41220,-0.0014,2.0,-10.0,303172400.0,22786221780.0,3125682.0
2000-02-09,7210,7490,7160,7200,51730,-0.0123,2.0,-90.0,378880500.0,22504910400.0,3125682.0
2000-02-10,7240,7350,6900,6960,48580,-0.0333,2.0,-240.0,343319700.0,21754746720.0,3125682.0
2000-02-11,6900,7250,6750,7100,80670,0.0200999999999999,1.0,140.0,564351100.0,22192342200.0,3125682.0
2000-02-14,6990,7050,6670,6710,41500,-0.0549,2.0,-390.0,282565400.0,20973326220.0,3125682.0
2000-02-15,6520,6800,6310,6380,34400,-0.0492,2.0,-330.0,223435500.0,19941851160.0,3125682.0
2000-02-16,6400,6510,6200,6310,22170,-0.011,2.0,-70.0,141892700.0,19723053420.0,3125682.0
2000-02-17,6690,6740,6300,6400,52730,0.0143,1.0,90.0,342738100.0,20004364800.0,3125682.0
2000-02-18,6450,7200,6450,7040,114420,0.1,1.0,640.0,789831700.0,22004801280.0,3125682.0
2000-02-21,6900,7040,6300,6400,56590,-0.0909,2.0,-640.0,374862000.0,20004364800.0,3125682.0
2000-02-22,6010,6500,5900,6050,42650,-0.0547,2.0,-350.0,260126800.0,18910376100.0,3125682.0
2000-02-23,6110,6900,6100,6330,52280,0.0463,1.0,280.0,335774300.0,19785567060.0,3125682.0
2000-02-24,6300,6890,6190,6640,76060,0.049,1.0,310.0,494308100.0,20754528480.0,3125682.0
2000-02-25,6740,7630,6700,7630,168910,0.1491,4.0,990.0,1230624600.0,23848953660.0,3125682.0
2000-02-28,7490,8290,7200,7610,135770,-0.0026,2.0,-20.0,1051908700.0,23786440020.0,3125682.0
2000-02-29,7700,7900,7300,7710,86220,0.0131,1.0,100.0,662309700.0,24099008220.0,3125682.0
2000-03-02,7980,8700,7750,8500,225650,0.1025,1.0,790.0,1872459200.0,26568297000.0,3125682.0
2000-03-03,8600,8800,7900,7900,106440,-0.0706,2.0,-600.0,892513300.0,24692887800.0,3125682.0
2000-03-06,7900,8460,7440,7910,120620,0.0013,1.0,10.0,951073400.0,24724144620.0,3125682.0
2000-03-07,7860,8200,7550,7950,86320,0.0051,1.0,40.0,679567400.0,24849171900.0,3125682.0
2000-03-08,7620,7850,7600,7750,49920,-0.0252,2.0,-200.0,384417900.0,24224035500.0,3125682.0
2000-03-09,7600,7920,7600,7750,71720,0.0,3.0,0.0,555521000.0,24224035500.0,3125682.0
2000-03-10,7990,8910,7850,8890,300000,0.1471,1.0,1140.0,2588938600.0,27787312980.0,3125682.0
2000-03-13,8800,10200,8750,9150,532560,0.0292,1.0,260.0,5167312600.0,28599990300.0,3125682.0
2000-03-14,9550,10200,8780,9300,312480,0.0163999999999999,1.0,150.0,2990844800.0,29068842600.0,3125682.0
2000-03-15,9000,9000,8350,8400,110070,-0.0968,2.0,-900.0,946250400.0,26255728800.0,3125682.0
2000-03-16,8900,9100,7950,8100,112780,-0.0356999999999999,2.0,-300.0,966488700.0,25318024200.0,3125682.0
2000-03-17,8200,8800,7700,8100,105670,0.0,3.0,0.0,856418000.0,25318024200.0,3125682.0
2000-03-20,7900,8250,7900,8100,69080,0.0,3.0,0.0,555369200.0,25318024200.0,3125682.0
2000-03-21,8000,8000,7750,7900,43270,-0.0247,2.0,-200.0,341243700.0,24692887800.0,3125682.0
2000-03-22,7900,8300,7800,8110,87020,0.0266,1.0,210.0,701574100.0,25349281020.0,3125682.0
2000-03-23,8200,8600,8000,8200,103860,0.0111,1.0,90.0,864828500.0,25630592400.0,3125682.0
2000-03-24,8400,9200,8210,8790,255120,0.072,1.0,590.0,2239750400.0,27474744780.0,3125682.0
2000-03-27,8990,9500,8750,8800,153620,0.0011,1.0,10.0,1401901100.0,27506001600.0,3125682.0
2000-03-28,9100,9280,8300,8330,112130,-0.0533999999999999,2.0,-470.0,962362700.0,26036931060.0,3125682.0
2000-03-29,8300,8550,7800,7800,77540,-0.0636,2.0,-530.0,633025700.0,24380319600.0,3125682.0
2000-03-30,7900,8190,7560,7780,53220,-0.0026,2.0,-20.0,412860200.0,24317805960.0,3125682.0
2000-03-31,7650,7900,7620,7750,28130,-0.0039,2.0,-30.0,216721800.0,24224035500.0,3125682.0
2000-04-03,7630,7830,7220,7580,62200,-0.0219,2.0,-170.0,469913000.0,23692669560.0,3125682.0
2000-04-04,7320,7400,7000,7250,46840,-0.0435,2.0,-330.0,334022500.0,22661194500.0,3125682.0
2000-04-06,7020,7100,6860,6900,20690,-0.0483,2.0,-350.0,143186100.0,21567205800.0,3125682.0
2000-04-07,7120,7150,6900,7050,41710,0.0217,1.0,150.0,292281600.0,22036058100.0,3125682.0
2000-04-10,6920,7580,6920,7380,45690,0.0467999999999999,1.0,330.0,332549900.0,23067533160.0,3125682.0
2000-04-11,7020,7150,6600,6750,43840,-0.0853999999999999,2.0,-630.0,300171500.0,21098353500.0,3125682.0
2000-04-12,6990,7110,6700,7000,32860,0.037,1.0,250.0,228552000.0,21879774000.0,3125682.0
2000-04-14,6800,7040,6720,6790,24770,-0.03,2.0,-210.0,169871400.0,21223380780.0,3125682.0
2000-04-17,5780,6630,5780,5920,36030,-0.1281,2.0,-870.0,220464800.0,18504037440.0,3125682.0
2000-04-18,6450,6750,6200,6740,79230,0.1384999999999999,1.0,820.0,519071400.0,21067096680.0,3125682.0
2000-04-19,7000,7050,6550,6710,40680,-0.0045,2.0,-30.0,279253000.0,20973326220.0,3125682.0
2000-04-20,6560,6700,6300,6470,31780,-0.0358,2.0,-240.0,204856700.0,20223162540.0,3125682.0
2000-04-21,6470,6670,6350,6500,19140,0.0046,1.0,30.0,125226700.0,20316933000.0,3125682.0
