date,open,high,low,close,volume,change,updown,comp,amount,marcap,shares
2000-01-04,13315,15581,13315,15581,169430,0.1498,4.0,2030.0,2699165500.0,86200092000.0,5224248.0
2000-01-05,15864,17894,14731,16525,728760,0.0605999999999999,1.0,944.0,13149097500.0,91424340000.0,5224248.0
2000-01-06,16525,17375,14070,14353,260640,-0.1314,2.0,-2172.0,4173941000.0,79408569600.0,5224248.0
2000-01-07,14920,16478,14164,16478,453080,0.148,4.0,2125.0,7561695500.0,91519648550.0,5244679.0
2000-01-10,18225,18508,15817,16053,752880,-0.0258,2.0,-425.0,13797058000.0,89159543000.0,5244679.0
2000-01-11,16053,17469,15581,16384,301010,0.0206,1.0,331.0,5285151500.0,90995180650.0,5244679.0
2000-01-12,16478,18839,16053,18839,743080,0.1499,4.0,2455.0,13918671500.0,104631346050.0,5244679.0
2000-01-13,18886,21058,17375,17564,2148630,-0.0677,2.0,-1275.0,43773668000.0,97551029400.0,5244679.0
2000-01-14,17564,17564,14967,14967,903900,-0.1478,5.0,-2597.0,15372570500.0,83128162150.0,5244679.0
2000-01-17,14778,16053,14542,14825,614290,-0.0095,2.0,-142.0,9923257000.0,82341460300.0,5244679.0
2000-01-18,15109,15581,14164,14259,389890,-0.0382,2.0,-566.0,6102855500.0,79194652900.0,5244679.0
2000-01-19,14306,14920,13409,13503,378300,-0.053,2.0,-756.0,5709375500.0,74998909700.0,5244679.0
2000-01-20,13220,13598,12748,13031,201830,-0.035,2.0,-472.0,2782364000.0,72376570200.0,5244679.0
2000-01-21,13220,14353,12795,13315,424220,0.0217,1.0,284.0,6093847000.0,73949973900.0,5244679.0
2000-01-24,13598,14353,13362,13503,293820,0.0141999999999999,1.0,188.0,4315323500.0,74998909700.0,5244679.0
2000-01-25,13362,13881,12937,12937,177200,-0.042,2.0,-566.0,2508566000.0,71852102300.0,5244679.0
2000-01-26,13315,13409,12748,13078,145660,0.0109,1.0,141.0,2002220500.0,72638804150.0,5244679.0
2000-01-27,13220,14873,13078,13692,636390,0.0469,1.0,614.0,9469910500.0,76047845500.0,5244679.0
2000-01-28,14164,14164,13362,13787,204570,0.0069,1.0,95.0,2984124500.0,76572313400.0,5244679.0
2000-01-31,13598,14353,13598,13598,225790,-0.0137,2.0,-189.0,3329275000.0,75523377600.0,5244679.0
2000-02-01,13692,13881,13315,13503,169490,-0.0069,2.0,-95.0,2437798000.0,74998909700.0,5244679.0
2000-02-02,13787,14637,13503,14164,389440,0.049,1.0,661.0,5839020000.0,78670185000.0,5244679.0
2000-02-03,14259,14353,13692,13834,182590,-0.0233,2.0,-330.0,2716504500.0,76834547350.0,5244679.0
