date,open,high,low,close,volume,change,updown,comp,amount,marcap,shares
2000-01-04,10534,12788,10534,11955,148870,0.0516999999999999,1.0,588.0,1802361500.0,139083037800.0,11400249.0
2000-01-05,12151,12935,11759,11955,238350,0.0,3.0,0.0,2971600000.0,139083037800.0,11400249.0
2000-01-06,12641,12641,11465,11857,140400,-0.0081999999999999,2.0,-98.0,1716760000.0,137943012900.0,11400249.0
2000-01-07,11563,12935,11465,12445,209490,0.0496,1.0,588.0,2601242500.0,144783162300.0,11400249.0
2000-01-10,12935,13915,12445,13327,452250,0.0709,1.0,882.0,6103807000.0,155043386400.0,11400249.0
2000-01-11,13425,13425,12543,12739,192260,-0.0441,2.0,-588.0,2545161500.0,148203237000.0,11400249.0
2000-01-12,13082,13621,12837,13033,194850,0.0231,1.0,294.0,2609433500.0,151623311700.0,11400249.0
2000-01-13,13229,13523,13033,13033,286420,0.0,3.0,0.0,3857790500.0,151623311700.0,11400249.0
2000-01-14,13327,13327,12445,12543,160210,-0.0375999999999999,2.0,-490.0,2126641000.0,145923187200.0,11400249.0
2000-01-17,12249,12543,12053,12249,111670,-0.0233999999999999,2.0,-294.0,1394769500.0,142503112500.0,11400249.0
2000-01-18,12445,12543,11759,11955,78520,-0.024,2.0,-294.0,957685500.0,139083037800.0,11400249.0
2000-01-19,11955,12347,11367,11465,171940,-0.0409999999999999,2.0,-490.0,2070540000.0,133382913300.0,11400249.0
2000-01-20,11661,11759,11073,11269,63890,-0.0171,2.0,-196.0,735924000.0,131102863500.0,11400249.0
2000-01-21,11367,11661,10877,11073,74830,-0.0174,2.0,-196.0,864065000.0,128822813700.0,11400249.0
2000-01-24,11073,11808,11073,11269,85350,0.0177,1.0,196.0,998999500.0,131102863500.0,11400249.0
2000-01-25,11563,11710,11269,11661,92130,0.0348,1.0,392.0,1080236000.0,135662963100.0,11400249.0
2000-01-26,11661,12053,11367,11661,78440,0.0,3.0,0.0,935177000.0,135662963100.0,11400249.0
2000-01-27,11759,13229,11661,12935,443050,0.1092,1.0,1274.0,5759851500.0,150483286800.0,11400249.0
2000-01-28,13033,13033,12200,12592,201020,-0.0265,2.0,-343.0,2582420000.0,146493199650.0,11400249.0
2000-01-31,12200,12445,11857,12445,156930,-0.0116999999999999,2.0,-147.0,1952930000.0,144783162300.0,11400249.0
2000-02-01,12249,12739,12249,12739,107220,0.0236,1.0,294.0,1370155500.0,148203237000.0,11400249.0
2000-02-02,12543,13425,12445,13327,274920,0.0462,1.0,588.0,3654786000.0,155043386400.0,11400249.0
2000-02-03,13376,13523,12739,12739,86350,-0.0441,2.0,-588.0,1142933000.0,148203237000.0,11400249.0
2000-02-07,12739,12739,12347,12445,77340,-0.0231,2.0,-294.0,986191000.0,144783162300.0,11400249.0
2000-02-08,12445,13131,12298,12445,168680,0.0,3.0,0.0,2171094000.0,144783162300.0,11400249.0
2000-02-09,12445,12690,12053,12543,108970,0.0079,1.0,98.0,1375611000.0,145923187200.0,11400249.0
2000-02-10,12347,13229,11759,12935,239020,0.0313,1.0,392.0,3100925000.0,150483286800.0,11400249.0
2000-02-11,13229,14405,12445,14013,315220,0.0833,1.0,1078.0,4288110500.0,163023560700.0,11400249.0
2000-02-14,14013,14013,12935,13474,102570,-0.0385,2.0,-539.0,1393471500.0,156753423750.0,11400249.0
2000-02-15,13572,13572,12837,13131,78350,-0.0255,2.0,-343.0,1045088000.0,152763336600.0,11400249.0
2000-02-16,13131,13278,12739,13082,42960,-0.0037,2.0,-49.0,569702000.0,152193324150.0,11400249.0
2000-02-17,13082,13915,13082,13719,151390,0.0487,1.0,637.0,2100766500.0,159603486000.0,11400249.0
2000-02-18,13915,15042,13915,14503,412910,0.0571,1.0,784.0,6126987500.0,168723685200.0,11400249.0
2000-02-21,14503,14503,13376,13719,125340,-0.0541,2.0,-784.0,1795873500.0,159603486000.0,11400249.0
2000-02-22,13915,13915,12935,13719,74640,0.0,3.0,0.0,1014102000.0,159603486000.0,11400249.0
2000-02-23,13915,14503,13425,13866,77810,0.0107,1.0,147.0,1112831500.0,161313523350.0,11400249.0
2000-02-24,13915,14944,13866,14699,162280,0.0601,1.0,833.0,2400054500.0,171003735000.0,11400249.0
2000-02-25,14895,15679,14699,15091,248110,0.0266999999999999,1.0,392.0,3860566500.0,175563834600.0,11400249.0
2000-02-28,14895,15189,14209,15091,53700,0.0,3.0,0.0,806275000.0,175563834600.0,11400249.0
2000-02-29,15091,15630,14601,14797,111460,-0.0195,2.0,-294.0,1721309000.0,172143759900.0,11400249.0
2000-03-02,14797,16365,14699,15385,484700,0.0397,1.0,588.0,7593577000.0,178983909300.0,11400249.0
2000-03-03,15679,17639,15189,15189,507020,-0.0127,2.0,-196.0,8462876000.0,176703859500.0,11400249.0
2000-03-06,15777,16365,14895,15875,356420,0.0452,1.0,686.0,5732216000.0,184684033800.0,11400249.0
2000-03-07,15875,15973,14895,14993,113410,-0.0556,2.0,-882.0,1774172000.0,174423809700.0,11400249.0
2000-03-08,14699,15483,14111,14993,133080,0.0,3.0,0.0,2020811500.0,174423809700.0,11400249.0
2000-03-09,15385,15679,14993,14993,144550,0.0,3.0,0.0,2254897000.0,174423809700.0,11400249.0
2000-03-10,15189,15630,14503,14993,64440,0.0,3.0,0.0,978392000.0,174423809700.0,11400249.0
2000-03-13,15091,15189,14552,14797,106340,-0.0131,2.0,-196.0,1602747000.0,172143759900.0,11400249.0
