date,open,high,low,close,volume,change,updown,comp,amount,marcap,shares
2000-01-04,23500,23500,23500,23500,350,-0.06,2.0,-1500.0,8225000.0,37467507000.0,1594362.0
2000-01-05,23500,24900,22000,22900,2380,-0.0255,2.0,-600.0,54159000.0,36510889800.0,1594362.0
2000-01-06,23000,23900,21000,23900,910,0.0437,1.0,1000.0,20941000.0,38105251800.0,1594362.0
2000-01-07,22900,22900,22000,22800,630,-0.046,2.0,-1100.0,14345000.0,36351453600.0,1594362.0
2000-01-10,0,0,0,22500,0,-0.0132,2.0,-300.0,0.0,35873145000.0,1594362.0
2000-01-11,22800,25800,22100,22100,590,-0.0178,2.0,-400.0,13681000.0,35235400200.0,1594362.0
2000-01-12,21800,23000,21800,21800,430,-0.0136,2.0,-300.0,9418000.0,34757091600.0,1594362.0
2000-01-13,22700,22700,22700,22700,50,0.0412999999999999,1.0,900.0,1135000.0,36192017400.0,1594362.0
2000-01-14,22700,23800,22000,23800,360,0.0484999999999999,1.0,1100.0,8098000.0,37945815600.0,1594362.0
2000-01-17,22500,23500,22500,23500,550,-0.0126,2.0,-300.0,12791000.0,37467507000.0,1594362.0
2000-01-18,22600,22600,22500,22500,360,-0.0426,2.0,-1000.0,8106000.0,35873145000.0,1594362.0
2000-01-19,23000,23000,23000,23000,10,0.0222,1.0,500.0,230000.0,36670326000.0,1594362.0
2000-01-20,0,0,0,22500,0,-0.0217,2.0,-500.0,0.0,35873145000.0,1594362.0
2000-01-21,22000,22000,22000,22000,100,-0.0222,2.0,-500.0,2200000.0,35075964000.0,1594362.0
2000-01-24,20700,21500,20700,21500,750,-0.0227,2.0,-500.0,15760000.0,34278783000.0,1594362.0
2000-01-25,21500,21500,21500,21500,230,0.0,3.0,0.0,4945000.0,34278783000.0,1594362.0
2000-01-26,22500,22500,21500,21700,260,0.0093,1.0,200.0,5640000.0,34597655400.0,1594362.0
2000-01-27,24950,24950,23000,24800,120,0.1429,1.0,3100.0,2797500.0,39540177600.0,1594362.0
2000-01-28,22400,24300,22400,24300,350,-0.0202,2.0,-500.0,8090000.0,38742996600.0,1594362.0
2000-01-31,24300,24300,24300,24300,10,0.0,3.0,0.0,243000.0,38742996600.0,1594362.0
2000-02-01,22000,22600,22000,22000,600,-0.0947,2.0,-2300.0,13245000.0,35075964000.0,1594362.0
2000-02-02,22600,23500,22200,23000,520,0.0455,1.0,1000.0,11896000.0,36670326000.0,1594362.0
2000-02-03,23000,23000,22550,22550,260,-0.0196,2.0,-450.0,5939500.0,35952863100.0,1594362.0
2000-02-07,23000,23000,23000,23000,40,0.02,1.0,450.0,920000.0,36670326000.0,1594362.0
2000-02-08,24000,24000,24000,24000,10,0.0435,1.0,1000.0,240000.0,38264688000.0,1594362.0
2000-02-09,0,0,0,23500,0,-0.0208,2.0,-500.0,0.0,37467507000.0,1594362.0
2000-02-10,23000,26900,22600,24000,1680,0.0213,1.0,500.0,40797000.0,38264688000.0,1594362.0
2000-02-11,25000,25000,23000,23000,320,-0.0417,2.0,-1000.0,7560000.0,36670326000.0,1594362.0
2000-02-14,23500,23500,23000,23000,270,0.0,3.0,0.0,6260000.0,36670326000.0,1594362.0
2000-02-15,21800,22900,21800,22900,510,-0.0043,2.0,-100.0,11129000.0,36510889800.0,1594362.0
2000-02-16,21500,22900,21500,22900,310,0.0,3.0,0.0,6679000.0,36510889800.0,1594362.0
2000-02-17,21100,23400,21100,23000,230,0.0044,1.0,100.0,5009000.0,36670326000.0,1594362.0
2000-02-18,22100,23450,21000,23000,1710,0.0,3.0,0.0,38946000.0,36670326000.0,1594362.0
2000-02-21,21200,22900,21200,22900,110,-0.0043,2.0,-100.0,2349000.0,36510889800.0,1594362.0
2000-02-22,0,0,0,22000,0,-0.0393,2.0,-900.0,0.0,35075964000.0,1594362.0
2000-02-23,22300,22800,22300,22800,390,0.0364,1.0,800.0,8774000.0,36351453600.0,1594362.0
2000-02-24,23500,25000,20000,22500,5890,-0.0132,2.0,-300.0,135514000.0,35873145000.0,1594362.0
2000-02-25,22600,25850,22600,25850,10280,0.1489,4.0,3350.0,260041500.0,41214257700.0,1594362.0
2000-02-28,25650,25650,23400,25000,2640,-0.0329,2.0,-850.0,65408000.0,39859050000.0,1594362.0
2000-02-29,25000,25000,23700,24700,420,-0.012,2.0,-300.0,10242000.0,39380741400.0,1594362.0
2000-03-02,24900,26000,23000,26000,2540,0.0526,1.0,1300.0,61629000.0,41453412000.0,1594362.0
2000-03-03,25950,25950,25000,25000,480,-0.0385,2.0,-1000.0,12009500.0,39859050000.0,1594362.0
2000-03-06,23500,25750,23000,25750,1430,0.03,1.0,750.0,34232000.0,41054821500.0,1594362.0
2000-03-07,22600,25500,22500,23600,3230,-0.0834999999999999,2.0,-2150.0,76129000.0,37626943200.0,1594362.0
2000-03-08,23550,24500,23550,24050,500,0.0191,1.0,450.0,12039500.0,38344406100.0,1594362.0
2000-03-09,23500,25100,23050,24000,1820,-0.0021,2.0,-50.0,43656500.0,38264688000.0,1594362.0
2000-03-10,23900,24100,23550,24100,1460,0.0042,1.0,100.0,34966500.0,38424124200.0,1594362.0
2000-03-13,23800,27700,23800,27700,9520,0.1494,4.0,3600.0,258457000.0,44163827400.0,1594362.0
2000-03-14,28500,30700,26150,28750,7300,0.0379,1.0,1050.0,205277500.0,45837907500.0,1594362.0
2000-03-15,27000,29500,27000,29000,2160,0.0087,1.0,250.0,61546500.0,46236498000.0,1594362.0
2000-03-16,29800,29800,27100,28800,1510,-0.0069,2.0,-200.0,43114000.0,45917625600.0,1594362.0
2000-03-17,27500,29100,27400,28800,270,0.0,3.0,0.0,7744000.0,45917625600.0,1594362.0
2000-03-20,28000,28000,26600,27500,1190,-0.0451,2.0,-1300.0,31985500.0,43844955000.0,1594362.0
2000-03-21,26000,26750,24500,26000,1240,-0.0545,2.0,-1500.0,31577500.0,41453412000.0,1594362.0
2000-03-22,23700,29900,23700,29800,870,0.1462,1.0,3800.0,24452000.0,47511987600.0,1594362.0
2000-03-23,29000,29000,26400,28700,330,-0.0369,2.0,-1100.0,8985000.0,45758189400.0,1594362.0
2000-03-24,29500,29500,27050,28900,330,0.0069999999999999,1.0,200.0,9354000.0,46077061800.0,1594362.0
2000-03-27,30000,30750,28500,30000,5080,0.0381,1.0,1100.0,151542000.0,47830860000.0,1594362.0
2000-03-28,25500,29950,25500,29500,1440,-0.0167,2.0,-500.0,40545000.0,47033679000.0,1594362.0
2000-03-29,29500,31000,28500,29100,2430,-0.0136,2.0,-400.0,72750500.0,46395934200.0,1594362.0
2000-03-30,27600,30000,27150,27900,580,-0.0412,2.0,-1200.0,16003500.0,44482699800.0,1594362.0
2000-03-31,28950,29500,27500,29500,3260,0.0573,1.0,1600.0,91788000.0,47033679000.0,1594362.0
2000-04-03,30100,33900,27500,27500,8850,-0.0678,2.0,-2000.0,278173000.0,43844955000.0,1594362.0
2000-04-04,28600,29400,25900,25900,5020,-0.0582,2.0,-1600.0,136496000.0,41293975800.0,1594362.0
2000-04-06,26500,26500,25100,26450,2500,0.0212,1.0,550.0,64158000.0,42170874900.0,1594362.0
2000-04-07,25200,27000,23500,25850,1950,-0.0227,2.0,-600.0,48345500.0,41214257700.0,1594362.0
2000-04-10,24100,27300,24100,26000,4300,0.0058,1.0,150.0,115948000.0,41453412000.0,1594362.0
2000-04-11,25650,27500,25650,26900,380,0.0346,1.0,900.0,9832500.0,42888337800.0,1594362.0
2000-04-12,26700,26700,25300,26700,300,-0.0074,2.0,-200.0,7835000.0,42569465400.0,1594362.0
2000-04-14,27350,27600,25200,26700,4500,0.0,3.0,0.0,119341000.0,42569465400.0,1594362.0
2000-04-17,24700,26900,24000,24900,1310,-0.0674,2.0,-1800.0,31547000.0,39699613800.0,1594362.0
2000-04-18,26500,26500,24700,25850,170,0.0382,1.0,950.0,4297000.0,41214257700.0,1594362.0
2000-04-19,26400,26400,25000,26400,620,0.0213,1.0,550.0,15952500.0,42091156800.0,1594362.0
2000-04-20,26400,26400,24800,24800,790,-0.0605999999999999,2.0,-1600.0,19839500.0,39540177600.0,1594362.0
2000-04-21,27700,27800,25000,26400,2610,0.0645,1.0,1600.0,69543500.0,42091156800.0,1594362.0
2000-04-24,26300,26300,25550,25550,80,-0.0322,2.0,-850.0,2073000.0,40735949100.0,1594362.0
2000-04-25,25550,26850,25500,25500,650,-0.002,2.0,-50.0,16882500.0,40656231000.0,1594362.0
2000-04-26,25700,26000,24350,25000,940,-0.0196,2.0,-500.0,23695500.0,39859050000.0,1594362.0
2000-04-27,24000,25350,24000,25350,430,0.0139999999999999,1.0,350.0,10422000.0,40417076700.0,1594362.0
2000-04-28,23500,25750,23500,25750,390,0.0158,1.0,400.0,9681000.0,41054821500.0,1594362.0
2000-05-02,25900,26200,24500,25900,560,0.0058,1.0,150.0,14168000.0,41293975800.0,1594362.0
2000-05-03,24150,25400,24150,25400,70,-0.0192999999999999,2.0,-500.0,1737000.0,40496794800.0,1594362.0
2000-05-04,25500,25500,24050,25000,170,-0.0157,2.0,-400.0,4166500.0,39859050000.0,1594362.0
2000-05-08,24900,25000,23700,24150,2000,-0.034,2.0,-850.0,48930000.0,38503842300.0,1594362.0
2000-05-09,24700,24700,23750,24450,820,0.0124,1.0,300.0,19778000.0,38982150900.0,1594362.0
2000-05-10,25000,25000,24900,24900,50,0.0184,1.0,450.0,1246000.0,39699613800.0,1594362.0
2000-05-12,23400,24750,23400,24500,2710,-0.0161,2.0,-400.0,64893000.0,39061869000.0,1594362.0
2000-05-15,24000,24300,23450,24300,610,-0.0081999999999999,2.0,-200.0,14405500.0,38742996600.0,1594362.0
2000-05-16,24400,24400,23500,23500,700,-0.0329,2.0,-800.0,16658000.0,37467507000.0,1594362.0
2000-05-17,23500,23500,22000,22000,470,-0.0638,2.0,-1500.0,10922000.0,35075964000.0,1594362.0
2000-05-18,23000,23000,22000,22000,2710,0.0,3.0,0.0,60735000.0,35075964000.0,1594362.0
2000-05-19,20400,23000,20400,22200,1650,0.0091,1.0,200.0,36175000.0,35394836400.0,1594362.0
2000-05-22,22300,24450,22000,22000,1580,-0.009,2.0,-200.0,34992000.0,35075964000.0,1594362.0
2000-05-23,21500,24300,21000,24300,1360,0.1045,1.0,2300.0,29247000.0,38742996600.0,1594362.0
2000-05-24,23000,23450,21300,22000,1410,-0.0947,2.0,-2300.0,30882500.0,35075964000.0,1594362.0
2000-05-25,23000,24900,23000,24400,580,0.1091,1.0,2400.0,14023500.0,38902432800.0,1594362.0
2000-05-26,23400,23400,22400,22400,620,-0.0819999999999999,2.0,-2000.0,13972000.0,35713708800.0,1594362.0
2000-05-29,23500,23500,20000,23000,2010,0.0268,1.0,600.0,43847000.0,36670326000.0,1594362.0
2000-05-30,22300,25300,22300,22650,4210,-0.0152,2.0,-350.0,101128500.0,36112299300.0,1594362.0
2000-05-31,23650,24000,22550,23400,1020,0.0331,1.0,750.0,23519500.0,37308070800.0,1594362.0
2000-06-01,23000,24400,22500,22500,1120,-0.0385,2.0,-900.0,25882000.0,35873145000.0,1594362.0
2000-06-02,23000,23500,22950,23000,1420,0.0222,1.0,500.0,32664500.0,36670326000.0,1594362.0
2000-06-05,22000,23900,22000,23000,2680,0.0,3.0,0.0,61586000.0,36670326000.0,1594362.0
2000-06-07,23050,23500,22550,23000,2200,0.0,3.0,0.0,50508000.0,36670326000.0,1594362.0
2000-06-08,23000,23000,22900,23000,310,0.0,3.0,0.0,7122000.0,36670326000.0,1594362.0
2000-06-09,22250,22950,22100,22300,220,-0.0304,2.0,-700.0,4903500.0,35554272600.0,1594362.0
2000-06-12,22200,22900,22000,22500,670,0.009,1.0,200.0,15008000.0,35873145000.0,1594362.0
2000-06-13,22900,23900,22900,23450,6900,0.0421999999999999,1.0,950.0,159026000.0,37387788900.0,1594362.0
2000-06-14,22700,23900,22500,23900,1760,0.0192,1.0,450.0,40043500.0,38105251800.0,1594362.0
2000-06-15,22700,23150,21900,21900,980,-0.0837,2.0,-2000.0,21941500.0,34916527800.0,1594362.0
2000-06-16,21950,21950,20900,21950,340,0.0023,1.0,50.0,7219000.0,34996245900.0,1594362.0
2000-06-19,21100,22100,20200,22000,1160,0.0023,1.0,50.0,24734500.0,35075964000.0,1594362.0
2000-06-20,22200,23100,21100,22000,1750,0.0,3.0,0.0,38919500.0,35075964000.0,1594362.0
2000-06-21,22500,22600,21450,21650,520,-0.0159,2.0,-350.0,11265000.0,34517937300.0,1594362.0
2000-06-22,22400,22400,21400,22000,640,0.0162,1.0,350.0,13914000.0,35075964000.0,1594362.0
2000-06-23,21050,22400,21000,22000,120,0.0,3.0,0.0,2571500.0,35075964000.0,1594362.0
2000-06-26,22000,22700,22000,22000,500,0.0,3.0,0.0,11115000.0,35075964000.0,1594362.0
2000-06-27,21500,22500,21500,22000,1890,0.0,3.0,0.0,41298500.0,35075964000.0,1594362.0
2000-06-28,22000,22300,22000,22000,1060,0.0,3.0,0.0,23420500.0,35075964000.0,1594362.0
2000-06-29,23000,23000,22000,22750,280,0.0341,1.0,750.0,6302500.0,36271735500.0,1594362.0
2000-06-30,21600,22800,21600,22800,170,0.0022,1.0,50.0,3761000.0,36351453600.0,1594362.0
