date,revenue_quarter,operatingIncome_quarter,operatingIncomeRatio_quarter,eps_quarter,weightedAverageShsOut_quarter,revenue_year,operatingIncome_year,operatingIncomeRatio_year,eps_year,weightedAverageShsOut_year
2007-12-31,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-01-01,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-01-02,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-01-03,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-01-04,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-01-05,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-01-06,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-01-07,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-01-08,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-01-09,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-01-10,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-01-11,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-01-12,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-01-13,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-01-14,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-01-15,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-01-16,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-01-17,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-01-18,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-01-19,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-01-20,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-01-21,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-01-22,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-01-23,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-01-24,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-01-25,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-01-26,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-01-27,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-01-28,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-01-29,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-01-30,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-01-31,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-02-01,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-02-02,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-02-03,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-02-04,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-02-05,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-02-06,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-02-07,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-02-08,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-02-09,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-02-10,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-02-11,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-02-12,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-02-13,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-02-14,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-02-15,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-02-16,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-02-17,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-02-18,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-02-19,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-02-20,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-02-21,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-02-22,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-02-23,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-02-24,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-02-25,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-02-26,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-02-27,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-02-28,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-02-29,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-03-01,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-03-02,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-03-03,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-03-04,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-03-05,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-03-06,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-03-07,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-03-08,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-03-09,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-03-10,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-03-11,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-03-12,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-03-13,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-03-14,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-03-15,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-03-16,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-03-17,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-03-18,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-03-19,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-03-20,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-03-21,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-03-22,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-03-23,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-03-24,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-03-25,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-03-26,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-03-27,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-03-28,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-03-29,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-03-30,1465718168000.0,161338344000.0,0.11007460200902688,415.933945,339300927.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-03-31,1302671376000.0,59679001000.0,0.04581278294703237,161.0,323371292.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-04-01,1302671376000.0,59679001000.0,0.04581278294703237,161.0,323371292.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-04-02,1302671376000.0,59679001000.0,0.04581278294703237,161.0,323371292.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-04-03,1302671376000.0,59679001000.0,0.04581278294703237,161.0,323371292.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-04-04,1302671376000.0,59679001000.0,0.04581278294703237,161.0,323371292.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-04-05,1302671376000.0,59679001000.0,0.04581278294703237,161.0,323371292.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-04-06,1302671376000.0,59679001000.0,0.04581278294703237,161.0,323371292.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-04-07,1302671376000.0,59679001000.0,0.04581278294703237,161.0,323371292.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-04-08,1302671376000.0,59679001000.0,0.04581278294703237,161.0,323371292.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-04-09,1302671376000.0,59679001000.0,0.04581278294703237,161.0,323371292.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-04-10,1302671376000.0,59679001000.0,0.04581278294703237,161.0,323371292.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-04-11,1302671376000.0,59679001000.0,0.04581278294703237,161.0,323371292.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-04-12,1302671376000.0,59679001000.0,0.04581278294703237,161.0,323371292.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-04-13,1302671376000.0,59679001000.0,0.04581278294703237,161.0,323371292.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
2008-04-14,1302671376000.0,59679001000.0,0.04581278294703237,161.0,323371292.0,6155423847000.0,581915883000.0,0.09453709402701997,2893.0,338067217.0
